timestamp,review_queue_rows,shortlist_rows,feedback_rows,handoff_bundle_count
2026-03-15T06:13:09.388463+00:00,0,0,0,0
2026-03-15T06:13:09.791516+00:00,0,0,0,0
2026-03-15T06:13:14.851167+00:00,0,0,0,0
2026-03-15T06:13:15.221621+00:00,0,0,0,0
2026-03-15T06:13:38.733167+00:00,0,0,0,0
2026-03-15T06:15:09.789057+00:00,0,0,0,0
2026-03-15T06:15:09.857280+00:00,0,0,0,0
2026-03-16T20:55:33.861561+00:00,0,0,0,0
2026-03-16T20:55:34.564061+00:00,0,0,0,0
2026-03-16T20:57:14.995408+00:00,0,0,0,0
2026-03-16T20:57:15.418896+00:00,0,0,0,0
2026-03-16T20:57:24.104870+00:00,0,0,0,0
2026-03-16T20:57:24.416286+00:00,0,0,0,0
2026-03-16T20:58:18.037611+00:00,0,0,0,0
2026-03-16T20:58:18.512236+00:00,0,0,0,0
2026-03-16T20:58:30.657168+00:00,0,0,0,0
2026-03-16T20:58:31.497289+00:00,0,0,0,0
2026-03-16T20:59:27.430875+00:00,0,0,0,0
2026-03-16T20:59:28.077757+00:00,0,0,0,0
2026-03-16T20:59:42.413392+00:00,0,0,0,0
2026-03-16T20:59:43.052595+00:00,0,0,0,0
2026-03-16T21:00:38.892558+00:00,0,0,0,0
2026-03-16T21:00:39.530851+00:00,0,0,0,0
2026-03-16T21:00:53.032937+00:00,0,0,0,0
2026-03-16T21:00:53.647528+00:00,0,0,0,0
